ID;Nationality;Age;BookingsCanceled;PersonsNights;RoomNights;DistributionChannel;MarketSegment;Recomendation
1;PRT;51;1;8;5;Corporate;Corporate;Yes
z;PRT;23;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
3;DEU;31;0;0;0;Travel Agent/Operator;Travel Agent/Operator;Yes
4;FRA;60;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
5;FRA;51;0;0;0;Travel Agent/Operator;Travel Agent/Operator;Yes
6;JPN;54;0;4;2;Travel Agent/Operator;Other;Yes
7;JPN;49;0;0;0;Travel Agent/Operator;Other;No
8;FRA;32;0;10;5;Travel Agent/Operator;Other;Yes
9;FRA;42;0;0;0;Travel Agent/Operator;Other;No
10;IRL;25;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
11;IRL;27;0;0;0;Travel Agent/Operator;Travel Agent/Operator;Yes
12;FRA;58;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
13;FRA;56;0;0;0;Travel Agent/Operator;Travel Agent/Operator;Yes
14;ESP;42;0;8;4;Direct;Direct;Yes
15;ESP;57;0;0;0;Direct;Direct;No
16;FRA;68;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
17;FRA;72;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
18;FRA;71;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
19;FRA;24;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
20;FRA;26;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
21;PRT;21;0;4;2;Travel Agent/Operator;Other;Yes
22;BEL;50;0;8;4;Direct;Direct;Yes
23;NLD;52;0;0;0;Direct;Direct;No
24;FRA;32;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
25;FRA;36;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
26;AUT;64;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
27;FRA;64;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
28;FRA;65;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
29;AUT;47;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
30;AUT;67;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
31;PRT;39;0;18;14;Direct;Corporate;Yes
32;PRT;71;0;6;3;Direct;Direct;Yes
33;PRT;41;0;0;0;Direct;Direct;No
34;PRT;43;0;6;3;Direct;Direct;Yes
35;PRT;3;0;0;0;Direct;Direct;No
36;PRT;63;0;0;0;Direct;Direct;No
37;DEU;30;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
38;DEU;28;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
39;PRT;21;0;1;1;Direct;Complementary;No
40;PRT;33;0;1;1;Direct;Complementary;No
41;ITA;52;0;6;3;Travel Agent/Operator;Other;No
42;ITA;18;0;0;0;Travel Agent/Operator;Other;No
43;FRA;53;0;10;5;Travel Agent/Operator;Other;Yes
44;FRA;52;0;0;0;Travel Agent/Operator;Other;No
45;ITA;48;0;6;3;Travel Agent/Operator;Other;Yes
46;ITA;17;0;0;0;Travel Agent/Operator;Other;No
47;CHN;25;0;4;2;Travel Agent/Operator;Other;Yes
48;CHN;26;0;0;0;Travel Agent/Operator;Other;No
49;RUS;43;0;2;1;Travel Agent/Operator;Other;Yes
50;POL;53;0;8;4;Travel Agent/Operator;Other;Yes
51;POL;53;0;0;0;Travel Agent/Operator;Other;No
52;ITA;36;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
53;ITA;30;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
54;ITA;32;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
55;PRT;38;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
56;PRT;22;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
57;ITA;40;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
58;ITA;36;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
59;PRT;21;0;2;2;Direct;Complementary;Yes
60;PRT;20;0;2;1;Direct;Direct;Yes
61;ITA;39;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
62;ITA;48;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
63;ITA;32;0;3;3;Travel Agent/Operator;Travel Agent/Operator;Yes
64;USA;65;0;14;7;Travel Agent/Operator;Travel Agent/Operator;Yes
65;HUN;59;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
66;PRT;19;0;3;1;Travel Agent/Operator;Travel Agent/Operator;Yes
67;FRA;50;0;15;5;Travel Agent/Operator;Travel Agent/Operator;Yes
68;FRA;13;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
69;FRA;51;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
70;PRT;21;0;8;4;Direct;Direct;Yes
71;ESP;61;0;0;0;Direct;Direct;No
72;FRA;69;0;12;6;Direct;Direct;Yes
73;FRA;69;0;0;0;Direct;Direct;No
74;FRA;49;0;12;6;Direct;Direct;Yes
75;FRA;55;0;0;0;Direct;Direct;No
76;FRA;70;0;12;4;Direct;Direct;Yes
77;FRA;34;0;8;4;Direct;Direct;Yes
78;FRA;28;0;8;4;Direct;Direct;Yes
79;FRA;66;0;8;4;Direct;Direct;Yes
80;FRA;72;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
81;FRA;71;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
82;ESP;3;0;8;4;Direct;Direct;Yes
83;ESP;40;0;0;0;Direct;Direct;No
84;PRT;28;0;12;4;Direct;Direct;Yes
85;ESP;82;0;0;0;Direct;Direct;No
86;ESP;35;0;0;0;Direct;Direct;No
87;ESP;39;0;12;4;Direct;Direct;Yes
88;ESP;6;0;0;0;Direct;Direct;No
89;ESP;38;0;0;0;Direct;Direct;No
90;ESP;42;0;8;4;Direct;Direct;Yes
91;ESP;70;0;0;0;Direct;Direct;No
92;ESP;68;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
93;ESP;70;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
94;ESP;60;0;10;5;Travel Agent/Operator;Other;Yes
95;ESP;57;0;0;0;Travel Agent/Operator;Other;No
96;ESP;71;0;10;5;Travel Agent/Operator;Travel Agent/Operator;Yes
97;ESP;67;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
98;ESP;62;0;10;5;Travel Agent/Operator;Other;Yes
99;ESP;57;0;0;0;Travel Agent/Operator;Other;No
100;CRI;61;0;6;3;Travel Agent/Operator;Other;Yes
101;PRT;23;0;6;3;Travel Agent/Operator;Other;Yes
102;FRA;61;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
103;ITA;67;0;6;3;Direct;Direct;No
104;ITA;65;0;0;0;Direct;Direct;No
105;BEL;59;0;6;3;Travel Agent/Operator;Other;Yes
106;PRT;56;0;0;0;Travel Agent/Operator;Other;No
107;ESP;63;0;6;3;Direct;Direct;Yes
108;FRA;45;0;6;3;Direct;Direct;Yes
109;MEX;61;0;0;0;Direct;Direct;No
110;ESP;66;0;3;3;Direct;Direct;Yes
111;FRA;13;0;0;0;Direct;Direct;No
112;ESP;56;0;4;2;Travel Agent/Operator;Other;No
113;ESP;48;0;0;0;Travel Agent/Operator;Other;No
114;PRT;34;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
115;ESP;37;0;10;5;Direct;Direct;Yes
116;RUS;29;0;0;0;Direct;Direct;No
117;FRA;43;0;16;4;Travel Agent/Operator;Groups;Yes
118;FRA;10;0;0;0;Travel Agent/Operator;Groups;No
119;FRA;40;0;0;0;Travel Agent/Operator;Groups;No
120;FRA;3;0;0;0;Travel Agent/Operator;Groups;No
121;FRA;8;0;0;0;Travel Agent/Operator;Groups;No
122;ESP;40;0;6;3;Direct;Direct;Yes
123;PRT;41;0;9;3;Direct;Direct;Yes
124;PRT;7;0;0;0;Direct;Direct;No
125;PRT;4;0;0;0;Direct;Direct;No
126;ESP;45;0;6;3;Direct;Direct;Yes
127;PRT;44;0;8;2;Direct;Direct;Yes
128;PRT;9;0;0;0;Direct;Direct;No
129;PRT;13;0;0;0;Direct;Direct;No
130;PRT;40;0;0;0;Direct;Direct;No
131;FRA;51;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
132;FRA;65;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
133;ESP;43;0;6;3;Direct;Direct;Yes
134;ESP;40;0;0;0;Direct;Direct;No
135;PRT;45;0;4;1;Direct;Direct;Yes
136;CHE;60;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
137;CHE;62;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
138;FRA;72;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
139;FRA;66;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
140;FRA;63;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
141;CHE;37;0;12;6;Travel Agent/Operator;Travel Agent/Operator;Yes
142;CHE;39;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
143;FRA;59;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
144;FRA;60;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
145;FRA;61;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
146;FRA;60;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
147;ESP;36;0;2;1;Direct;Direct;No
148;ESP;44;0;0;0;Direct;Direct;No
149;USA;34;0;8;2;Travel Agent/Operator;Other;Yes
150;USA;33;0;0;0;Travel Agent/Operator;Other;No
151;USA;10;0;0;0;Travel Agent/Operator;Other;No
152;USA;22;0;0;0;Travel Agent/Operator;Other;No
153;USA;33;0;0;0;Travel Agent/Operator;Other;No
154;PRT;43;0;6;3;Travel Agent/Operator;Travel Agent/Operator;Yes
155;PRT;60;0;4;2;Travel Agent/Operator;Travel Agent/Operator;Yes
156;PRT;72;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
157;CRI;38;0;6;3;Travel Agent/Operator;Other;Yes
158;FRA;61;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
159;PRT;46;0;18;6;Direct;Direct;Yes
160;FRA;43;0;0;0;Direct;Direct;Yes
161;FRA;20;0;0;0;Direct;Direct;Yes
162;USA;68;0;15;5;Travel Agent/Operator;Other;Yes
163;USA;27;0;0;0;Travel Agent/Operator;Other;No
164;USA;63;0;0;0;Travel Agent/Operator;Other;No
165;FRA;67;0;8;4;Travel Agent/Operator;Travel Agent/Operator;Yes
166;FRA;64;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
167;DEU;60;0;22;11;Travel Agent/Operator;Travel Agent/Operator;Yes
168;DEU;50;0;0;0;Travel Agent/Operator;Travel Agent/Operator;No
169;ESP;53;0;8;4;Travel Agent/Operator;Other;Yes
170;ESP;54;0;0;0;Travel Agent/Operator;Other;No
171;ITA;55;0;12;4;Travel Agent/Operator;Groups;Yes
172;ITA;53;0;0;0;Travel Agent/Operator;Groups;No
173;ITA;14;0;0;0;Travel Agent/Operator;Groups;No
174;PRT;55;0;8;4;Travel Agent/Operator;Groups;Yes
175;ITA;59;0;8;4;Travel Agent/Operator;Groups;Yes
176;ITA;55;0;0;0;Travel Agent/Operator;Groups;No
177;PRT;34;0;8;4;Travel Agent/Operator;Other;Yes
178;ITA;34;0;8;4;Travel Agent/Operator;Groups;Yes
179;ITA;43;0;0;0;Travel Agent/Operator;Groups;No
180;ITA;38;0;8;4;Travel Agent/Operator;Groups;Yes
181;ITA;35;0;0;0;Travel Agent/Operator;Groups;No
182;DEU;67;0;4;2;Travel Agent/Operator;Other;Yes
183;DEU;54;0;0;0;Travel Agent/Operator;Other;No
184;ITA;58;0;8;4;Travel Agent/Operator;Other;Yes
185;ITA;53;0;0;0;Travel Agent/Operator;Other;No
186;ITA;55;0;8;4;Travel Agent/Operator;Other;Yes
